D=128 H=32 H_KV=8  dtype=torch.bfloat16
flash_attn_gfx950(has_bias=True) vs aiter flash-attn, both with the same bf16 attention bias
modes: dense | varlen (packed, seqlen fractions [1.0, 0.5, 0.75, 0.25] of seq)
       paged (page_size=64, shuffled block table) | splitk (num_kv_splits=4)
bias: dense/paged/splitk (Sq,Skv) broadcast over batch+head; varlen (total_q,max_Skv) packed rows

GFLOP is this row's actual work (unmasked q,k pairs only). Varlen rows pack shorter
sequences, so they do LESS work than the dense row on the same (B,seq) line -- compare
TFLOPS across rows, never ms.
vs dns = this row's fly TF / the dense row's fly TF at the same (B,seq,causal).
paged has no aiter number (aiter exposes no public paged+bias entry point); judge it by vs dns.
aiter varlen+bias falls back to ck-tile (bias disqualifies its fmha_v3 ASM path), so its
varlen ms is far above its dense ms for identical work -- an aiter routing artifact.
fly/ait = aiter_ms / fly_ms  (>1 means the FlyDSL kernel is faster)
fly ms times the precompiled executable; the _launch wrapper adds a flat ~0.12 ms/call of
host-side JIT cache-key resolution on top, which dominates below S~2048.

  B     seq    mode  causal |     GFLOP |     fly ms   aiter ms |  fly/ait  vs dns |    fly TF  aiter TF
--------------------------------------------------------------------------------------------------------
  1     512   dense       0 |       4.3 |     0.0397     0.0373 |    0.94x   1.00x |     108.2     115.1
  1     512   dense       1 |       2.2 |     0.0387     0.0389 |    1.01x   1.00x |      55.6      55.2
  1     512  varlen       0 |       4.3 |     0.0394     0.1285 |    3.26x   1.01x |     109.0      33.4
  1     512  varlen       1 |       2.2 |     0.0388     0.1139 |    2.94x   1.00x |      55.5      18.9
  1     512   paged       0 |       4.3 |     0.0407        nan |     nanx   0.98x |     105.6       nan
  1     512   paged       1 |       2.2 |     0.0396        nan |     nanx   0.98x |      54.3       nan
  1     512  splitk       0 |       4.3 |     0.0486     0.0368 |    0.76x   0.82x |      88.4     116.8
  1     512  splitk       1 |       2.2 |     0.0477     0.0387 |    0.81x   0.81x |      45.1      55.6
  1    1024   dense       0 |      17.2 |     0.0698     0.0693 |    0.99x   1.00x |     246.0     247.7
  1    1024   dense       1 |       8.6 |     0.0650     0.0683 |    1.05x   1.00x |     132.3     125.9
  1    1024  varlen       0 |      17.2 |     0.0690     0.2780 |    4.03x   1.01x |     248.9      61.8
  1    1024  varlen       1 |       8.6 |     0.0652     0.2438 |    3.74x   1.00x |     131.9      35.3
  1    1024   paged       0 |      17.2 |     0.0699        nan |     nanx   1.00x |     245.9       nan
  1    1024   paged       1 |       8.6 |     0.0665        nan |     nanx   0.98x |     129.3       nan
  1    1024  splitk       0 |      17.2 |     0.0728     0.0693 |    0.95x   0.96x |     235.9     247.8
  1    1024  splitk       1 |       8.6 |     0.0564     0.0678 |    1.20x   1.15x |     152.5     126.8
  1    2048   dense       0 |      68.7 |     0.1408     0.2083 |    1.48x   1.00x |     488.0     329.9
  1    2048   dense       1 |      34.4 |     0.1308     0.1236 |    0.95x   1.00x |     262.9     278.1
  1    2048  varlen       0 |      68.7 |     0.1414     0.9269 |    6.56x   1.00x |     486.0      74.1
  1    2048  varlen       1 |      34.4 |     0.1318     0.4843 |    3.67x   0.99x |     260.9      71.0
  1    2048   paged       0 |      68.7 |     0.1432        nan |     nanx   0.98x |     479.8       nan
  1    2048   paged       1 |      34.4 |     0.1348        nan |     nanx   0.97x |     255.0       nan
  1    2048  splitk       0 |      68.7 |     0.1867     0.2060 |    1.10x   0.75x |     368.0     333.5
  1    2048  splitk       1 |      34.4 |     0.1300     0.1249 |    0.96x   1.01x |     264.4     275.1
  1    4096   dense       0 |     274.9 |     0.4838     0.7491 |    1.55x   1.00x |     568.1     366.9
  1    4096   dense       1 |     137.5 |     0.3611     0.4067 |    1.13x   1.00x |     380.7     338.1
  1    4096  varlen       0 |     274.9 |     0.4808     3.4876 |    7.25x   1.01x |     571.7      78.8
  1    4096  varlen       1 |     137.5 |     0.3628     1.7328 |    4.78x   1.00x |     378.9      79.3
  1    4096   paged       0 |     274.9 |     0.4911        nan |     nanx   0.99x |     559.7       nan
  1    4096   paged       1 |     137.5 |     0.3730        nan |     nanx   0.97x |     368.6       nan
  1    4096  splitk       0 |     274.9 |     0.5806     0.7486 |    1.29x   0.83x |     473.4     367.2
  1    4096  splitk       1 |     137.5 |     0.3607     0.4064 |    1.13x   1.00x |     381.1     338.3
  1    8192   dense       0 |    1099.5 |     1.9111     2.8651 |    1.50x   1.00x |     575.3     383.8
  1    8192   dense       1 |     549.8 |     1.1596     1.4867 |    1.28x   1.00x |     474.2     369.8
  1    8192  varlen       0 |    1099.5 |     1.9256    13.6452 |    7.09x   0.99x |     571.0      80.6
  1    8192  varlen       1 |     549.8 |     1.1677     6.5280 |    5.59x   0.99x |     470.9      84.2
  1    8192   paged       0 |    1099.5 |     1.9600        nan |     nanx   0.98x |     561.0       nan
  1    8192   paged       1 |     549.8 |     1.1928        nan |     nanx   0.97x |     460.9       nan
  1    8192  splitk       0 |    1099.5 |     2.2594     2.8646 |    1.27x   0.85x |     486.6     383.8
  1    8192  splitk       1 |     549.8 |     1.3053     1.4849 |    1.14x   0.89x |     421.2     370.3
  1   16384   dense       0 |    4398.0 |     8.1843    11.6952 |    1.43x   1.00x |     537.4     376.1
  1   16384   dense       1 |    2199.2 |     4.6097     5.9403 |    1.29x   1.00x |     477.1     370.2
  1   16384  varlen       0 |    4398.0 |     8.1882    54.4131 |    6.65x   1.00x |     537.1      80.8
  1   16384  varlen       1 |    2199.2 |     4.6076    25.5609 |    5.55x   1.00x |     477.3      86.0
  1   16384   paged       0 |    4398.0 |     8.4063        nan |     nanx   0.97x |     523.2       nan
  1   16384   paged       1 |    2199.2 |     4.7283        nan |     nanx   0.97x |     465.1       nan
  1   16384  splitk       0 |    4398.0 |     8.5459    11.6912 |    1.37x   0.96x |     514.6     376.2
  1   16384  splitk       1 |    2199.2 |     4.6387     5.9317 |    1.28x   0.99x |     474.1     370.7
  1   32768   dense       0 |   17592.2 |    32.7017    47.2634 |    1.45x   1.00x |     538.0     372.2
  1   32768   dense       1 |    8796.4 |    17.2554    23.6301 |    1.37x   1.00x |     509.8     372.3
  1   32768  varlen       0 |   17592.2 |    32.5303   220.9468 |    6.79x   1.01x |     540.8      79.6
  1   32768  varlen       1 |    8796.4 |    17.2889   102.1483 |    5.91x   1.00x |     508.8      86.1
  1   32768   paged       0 |   17592.2 |    33.4313        nan |     nanx   0.98x |     526.2       nan
  1   32768   paged       1 |    8796.4 |    17.7946        nan |     nanx   0.97x |     494.3       nan
  1   32768  splitk       0 |   17592.2 |    33.2977    47.2418 |    1.42x   0.98x |     528.3     372.4
  1   32768  splitk       1 |    8796.4 |    17.3120    23.6555 |    1.37x   1.00x |     508.1     371.9
  1   65536   dense       * | SKIP  bias 65536x65536 = 4.29e+09 elems exceeds i32 offset range
  1   65536  varlen       * | SKIP  bias 65536x65536 = 4.29e+09 elems exceeds i32 offset range
  1   65536   paged       * | SKIP  bias 65536x65536 = 4.29e+09 elems exceeds i32 offset range
  1   65536  splitk       * | SKIP  bias 65536x65536 = 4.29e+09 elems exceeds i32 offset range
  2     512   dense       0 |       8.6 |     0.0409     0.0447 |    1.09x   1.00x |     209.9     192.1
  2     512   dense       1 |       4.3 |     0.0402     0.0461 |    1.15x   1.00x |     107.1      93.4
  2     512  varlen       0 |       5.4 |     0.0402     0.1568 |    3.90x   0.64x |     133.5      34.2
  2     512  varlen       1 |       2.7 |     0.0395     0.1371 |    3.47x   0.64x |      68.2      19.6
  2     512   paged       0 |       8.6 |     0.0420        nan |     nanx   0.97x |     204.6       nan
  2     512   paged       1 |       4.3 |     0.0410        nan |     nanx   0.98x |     104.9       nan
  2     512  splitk       0 |       8.6 |     0.0554     0.0445 |    0.80x   0.74x |     155.0     193.0
  2     512  splitk       1 |       4.3 |     0.0549     0.0452 |    0.82x   0.73x |      78.4      95.2
  2    1024   dense       0 |      34.4 |     0.0794     0.1199 |    1.51x   1.00x |     433.0     286.6
  2    1024   dense       1 |      17.2 |     0.0742     0.0809 |    1.09x   1.00x |     231.8     212.7
  2    1024  varlen       0 |      21.5 |     0.0750     0.3991 |    5.32x   0.66x |     286.4      53.8
  2    1024  varlen       1 |      10.8 |     0.0710     0.2463 |    3.47x   0.65x |     151.3      43.6
  2    1024   paged       0 |      34.4 |     0.0814        nan |     nanx   0.98x |     422.3       nan
  2    1024   paged       1 |      17.2 |     0.0769        nan |     nanx   0.96x |     223.6       nan
  2    1024  splitk       0 |      34.4 |     0.1159     0.1180 |    1.02x   0.68x |     296.5     291.1
  2    1024  splitk       1 |      17.2 |     0.0885     0.0815 |    0.92x   0.84x |     194.3     211.1
  2    2048   dense       0 |     137.4 |     0.2636     0.3927 |    1.49x   1.00x |     521.4     350.0
  2    2048   dense       1 |      68.8 |     0.2170     0.2282 |    1.05x   1.00x |     316.9     301.2
  2    2048  varlen       0 |      85.9 |     0.1992     1.1557 |    5.80x   0.83x |     431.1      74.3
  2    2048  varlen       1 |      43.0 |     0.1338     0.6975 |    5.21x   1.01x |     321.3      61.6
  2    2048   paged       0 |     137.4 |     0.2699        nan |     nanx   0.98x |     509.3       nan
  2    2048   paged       1 |      68.8 |     0.2241        nan |     nanx   0.97x |     306.8       nan
  2    2048  splitk       0 |     137.4 |     0.3480     0.3926 |    1.13x   0.76x |     394.9     350.1
  2    2048  splitk       1 |      68.8 |     0.2297     0.2280 |    0.99x   0.94x |     299.3     301.6
  2    4096   dense       0 |     549.8 |     0.9496     1.4822 |    1.56x   1.00x |     578.9     370.9
  2    4096   dense       1 |     274.9 |     0.6229     0.7884 |    1.27x   1.00x |     441.4     348.7
  2    4096  varlen       0 |     343.6 |     0.6025     4.3673 |    7.25x   0.99x |     570.3      78.7
  2    4096  varlen       1 |     171.8 |     0.3965     2.1874 |    5.52x   0.98x |     433.5      78.6
  2    4096   paged       0 |     549.8 |     0.9689        nan |     nanx   0.98x |     567.4       nan
  2    4096   paged       1 |     274.9 |     0.6400        nan |     nanx   0.97x |     429.6       nan
  2    4096  splitk       0 |     549.8 |     1.2298     1.4820 |    1.21x   0.77x |     447.0     371.0
  2    4096  splitk       1 |     274.9 |     0.7257     0.7890 |    1.09x   0.86x |     378.9     348.5
  2    8192   dense       0 |    2199.0 |     3.8414     5.8712 |    1.53x   1.00x |     572.5     374.5
  2    8192   dense       1 |    1099.6 |     2.1135     2.9711 |    1.41x   1.00x |     520.3     370.1
  2    8192  varlen       0 |    1374.4 |     2.5736    17.1461 |    6.66x   0.93x |     534.0      80.2
  2    8192  varlen       1 |     687.3 |     1.4223     8.2069 |    5.77x   0.93x |     483.2      83.7
  2    8192   paged       0 |    2199.0 |     4.0659        nan |     nanx   0.94x |     540.8       nan
  2    8192   paged       1 |    1099.6 |     2.1778        nan |     nanx   0.97x |     504.9       nan
  2    8192  splitk       0 |    2199.0 |     4.5086     5.9094 |    1.31x   0.85x |     487.7     372.1
  2    8192  splitk       1 |    1099.6 |     2.5264     2.9701 |    1.18x   0.84x |     435.3     370.2
  2   16384   dense       0 |    8796.1 |    16.3698    23.5212 |    1.44x   1.00x |     537.3     374.0
  2   16384   dense       1 |    4398.3 |     8.7933    11.9055 |    1.35x   1.00x |     500.2     369.4
  2   16384  varlen       0 |    5497.6 |    10.2469    68.4004 |    6.68x   1.00x |     536.5      80.4
  2   16384  varlen       1 |    2749.0 |     5.4944    32.1908 |    5.86x   1.00x |     500.3      85.4
  2   16384   paged       0 |    8796.1 |    16.8240        nan |     nanx   0.97x |     522.8       nan
  2   16384   paged       1 |    4398.3 |     9.0490        nan |     nanx   0.97x |     486.1       nan
  2   16384  splitk       0 |    8796.1 |    17.1046    23.5341 |    1.38x   0.96x |     514.3     373.8
  2   16384  splitk       1 |    4398.3 |     9.1459    11.9089 |    1.30x   0.96x |     480.9     369.3
  2   32768   dense       0 |   35184.4 |    65.3078    95.4451 |    1.46x   1.00x |     538.7     368.6
  2   32768   dense       1 |   17592.7 |    33.6059    47.4318 |    1.41x   1.00x |     523.5     370.9
  2   32768  varlen       0 |   21990.2 |    40.6969   277.0998 |    6.81x   1.00x |     540.3      79.4
  2   32768  varlen       1 |   10995.5 |    20.9784   128.0285 |    6.10x   1.00x |     524.1      85.9
  2   32768   paged       0 |   35184.4 |    66.9137        nan |     nanx   0.98x |     525.8       nan
  2   32768   paged       1 |   17592.7 |    34.6861        nan |     nanx   0.97x |     507.2       nan
  2   32768  splitk       0 |   35184.4 |    66.5003    95.7890 |    1.44x   0.98x |     529.1     367.3
  2   32768  splitk       1 |   17592.7 |    34.3564    47.4252 |    1.38x   0.98x |     512.1     371.0
  2   65536   dense       * | SKIP  bias 65536x65536 = 4.29e+09 elems exceeds i32 offset range
  2   65536  varlen       * | SKIP  bias 98304x65536 = 6.44e+09 elems exceeds i32 offset range
  2   65536   paged       * | SKIP  bias 65536x65536 = 4.29e+09 elems exceeds i32 offset range
  2   65536  splitk       * | SKIP  bias 65536x65536 = 4.29e+09 elems exceeds i32 offset range
  3     512   dense       0 |      12.9 |     0.0431     0.0707 |    1.64x   1.00x |     299.0     182.2
  3     512   dense       1 |       6.5 |     0.0415     0.0569 |    1.37x   1.00x |     155.4     113.5
  3     512  varlen       0 |       7.8 |     0.0420     0.1973 |    4.70x   0.62x |     185.5      39.5
  3     512  varlen       1 |       3.9 |     0.0402     0.1436 |    3.57x   0.62x |      97.1      27.2
  3     512   paged       0 |      12.9 |     0.0442        nan |     nanx   0.98x |     291.6       nan
  3     512   paged       1 |       6.5 |     0.0425        nan |     nanx   0.98x |     152.0       nan
  3     512  splitk       0 |      12.9 |     0.0616     0.0712 |    1.16x   0.70x |     209.3     181.0
  3     512  splitk       1 |       6.5 |     0.0606     0.0568 |    0.94x   0.69x |     106.5     113.6
  3    1024   dense       0 |      51.5 |     0.1403     0.1682 |    1.20x   1.00x |     367.4     306.4
  3    1024   dense       1 |      25.8 |     0.1070     0.1265 |    1.18x   1.00x |     241.1     204.0
  3    1024  varlen       0 |      31.1 |     0.0966     0.5731 |    5.93x   0.88x |     322.2      54.3
  3    1024  varlen       1 |      15.6 |     0.0798     0.3406 |    4.27x   0.81x |     195.3      45.8
  3    1024   paged       0 |      51.5 |     0.1442        nan |     nanx   0.97x |     357.5       nan
  3    1024   paged       1 |      25.8 |     0.1095        nan |     nanx   0.98x |     235.5       nan
  3    1024  splitk       0 |      51.5 |     0.1698     0.1664 |    0.98x   0.83x |     303.4     309.8
